"110年03月 2027 大成鋼           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"110/03/02","24,720,020","771,838,842","31.90","32.00","30.20","30.45","-0.75","10,148",
"110/03/03","37,380,118","1,170,823,437","30.70","31.70","30.50","31.60","+1.15","13,387",
"110/03/04","108,899,150","3,595,584,281","32.75","33.70","32.45","32.80","+1.20","41,242",
"110/03/05","65,740,317","2,032,655,621","31.85","31.85","30.00","30.20","-2.60","26,001",
"110/03/08","35,232,692","1,052,258,310","30.45","30.85","29.30","29.55","-0.65","14,733",
"110/03/09","21,743,089","663,203,803","30.25","31.00","30.15","30.35","+0.80","9,274",
"110/03/10","9,504,634","288,121,108","30.50","30.60","30.00","30.40","+0.05","4,270",
"110/03/11","15,515,102","477,506,154","30.95","31.15","30.50","30.60","+0.20","6,033",
"110/03/12","16,093,101","488,598,568","30.80","30.85","30.00","30.60"," 0.00","5,555",
"110/03/15","10,182,812","309,722,636","30.75","30.80","30.15","30.35","-0.25","4,076",
"110/03/16","22,162,955","655,514,137","30.20","30.20","29.30","29.55","-0.80","11,251",
"110/03/17","10,847,997","320,070,071","29.55","29.85","29.10","29.70","+0.15","4,821",
"110/03/18","8,535,592","253,976,625","29.90","29.90","29.60","29.75","+0.05","3,836",
"110/03/19","7,697,272","226,189,628","29.70","29.70","29.25","29.35","-0.40","3,239",
"110/03/22","7,960,466","234,747,978","29.35","29.75","29.15","29.70","+0.35","2,975",
"110/03/23","9,663,780","288,056,606","29.75","30.00","29.70","29.90","+0.20","3,559",
"110/03/24","8,151,270","240,048,578","29.70","29.75","29.25","29.40","-0.50","3,112",
"110/03/25","5,279,281","156,252,504","29.50","29.85","29.35","29.65","+0.25","2,436",
"110/03/26","6,843,740","203,703,850","30.00","30.10","29.60","29.80","+0.15","2,582",
"110/03/29","20,925,401","639,025,911","30.10","30.95","30.05","30.50","+0.70","8,407",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"

